iter	Passed	Remaining
947	3232	177
948	3236	173
949	3239	170
950	3242	167
951	3245	163
952	3248	160
953	3251	156
954	3255	153
955	3258	149
956	3261	146
957	3264	143
958	3267	139
959	3270	136
960	3274	132
961	3277	129
962	3280	126
963	3283	122
964	3286	119
965	3289	115
966	3292	112
967	3296	108
968	3299	105
969	3302	102
970	3305	98
971	3308	95
972	3311	91
973	3314	88
974	3318	85
975	3321	81
976	3324	78
977	3327	74
978	3330	71
979	3333	68
980	3336	64
981	3339	61
982	3343	57
983	3346	54
984	3349	51
985	3352	47
986	3355	44
987	3358	40
988	3361	37
989	3364	33
990	3367	30
991	3370	27
992	3374	23
993	3377	20
994	3380	16
995	3383	13
996	3386	10
997	3389	6
998	3392	3
999	3395	0
